34,0,0,0,0,0,0,0,0,0,0,0,0
Rajendra_nagar2,6.804,6.804,34.020,85.050,68.040,34.020,27.216,20.412,34.020,51.030,27.216,13.608
Rajendra_nagar1,7.920,7.920,39.600,99.000,79.200,39.600,31.680,23.760,39.600,59.400,31.680,15.840
Bademakan,1.980,1.980,9.900,24.750,19.800,9.900,7.920,5.940,9.900,14.850,7.920,3.960
Kesare,2.880,2.880,14.400,36.000,28.800,14.400,11.520,8.640,14.400,21.600,11.520,5.760
Rajiv_nagar_II,3.924,3.924,19.620,49.050,39.240,19.620,15.696,11.772,19.620,29.430,15.696,7.848
Veeranageeri,5.625,5.625,28.125,70.312,56.250,28.125,22.500,16.875,28.125,42.188,22.500,11.250
NR_mohalla2,2.880,2.880,14.400,36.000,28.800,14.400,11.520,8.640,14.400,21.600,11.520,5.760
NR_mohalla1,11.394,11.394,56.970,142.425,113.940,56.970,45.576,34.182,56.970,85.455,45.576,22.788
Rajiv_nagar_I,15.966,15.966,79.830,199.575,159.660,79.830,63.864,47.898,79.830,119.745,63.864,31.932
Tippu_park,7.500,7.500,37.500,93.750,75.000,37.500,30.000,22.500,37.500,56.250,30.000,15.000


